Team,Avg PassYdsAllowed,Avg RushYdsAllowed,Avg PassTDsAllowed,Avg RushTDsAllowed,Avg PassAttAllowed,Avg RushAttAllowed,% Rush,Avg FGA,,
49ers,266,105,2.3,1,37,26,41%,2,SFO,2
Bears,263,88,2.3,0,36,22,38%,1.2,CHI,1.2
Bengals,301,129,2.1,1,42,26,38%,1.7,CIN,1.7
Bills,210,111,1.9,0.9,34,26,44%,1.9,BUF,1.9
Broncos,230,148,1.4,1.1,34,28,45%,1.9,DEN,1.9
Browns,279,135,1.3,1.4,42,30,42%,1.7,CLE,1.7
Buccaneers,327,90,3,1,39,23,37%,1,TAM,1
Cardinals,234,148,1.1,1.7,33,34,50%,1.3,ARI,1.3
Chargers,256,106,1.9,0.4,35,25,41%,1.4,LAC,1.4
Chiefs,317,119,1.6,1.3,43,23,34%,1.9,KAN,1.9
Colts,264,111,1.4,0.7,37,28,43%,2.7,IND,2.7
Cowboys,217,96,1.1,0.6,32,27,46%,1.6,DAL,1.6
Dolphins,269,137,1.6,0.9,34,30,47%,1.9,MIA,1.9
Eagles,270,86,1.4,0.6,40,19,32%,1.7,PHI,1.7
Falcons,307,113,2.4,1.3,40,23,37%,1.3,ATL,1.3
Giants,253,114,1.4,0.9,35,27,43%,2.9,NYG,2.9
Jaguars,180,122,0.9,0.9,31,29,49%,2.7,JAC,2.7
Jets,266,106,1.9,0.9,41,25,38%,1.7,NYJ,1.7
Lions,221,139,2,0.7,31,26,46%,1.8,DET,1.8
Packers,212,117,1.7,1,31,26,45%,1.3,GNB,1.3
Panthers,260,95,1.8,0.7,36,23,39%,1.3,CAR,1.3
Patriots,276,114,2.4,0.4,41,25,38%,1.9,NWE,1.9
Raiders,267,132,2.2,1,31,28,48%,2,OAK,2
Rams,227,100,1.6,0.4,34,21,39%,1.4,LAR,1.4
Ravens,190,90,1.1,0.4,35,24,40%,1.1,BAL,1.1
Redskins,238,87,1.7,1,36,22,38%,0.7,WAS,0.7
Saints,294,72,2.2,1,36,23,39%,1.3,NOR,1.3
Seahawks,206,121,1.3,0.7,33,26,44%,1.5,SEA,1.5
Steelers,282,98,2.5,0.7,41,24,36%,1.2,PIT,1.2
Texans,238,92,1.9,0.1,36,27,43%,1.9,HOU,1.9
Titans,226,112,1.3,0.4,32,27,46%,1.7,TEN,1.7
Vikings,256,90,1.6,0.6,34,24,41%,2.1,MIN,2.1
