#,Player,Team,Cmp,Att,%,Pass Yds,Pass TD,INT,YPPA,YPPC,Rush Att,Rush Yds,Rush TD,YPC,FF Pts,/G
33,Josh Rosen,ARI,71,129,55.00%,820,3,5,6.4,11.5,7,36,0,5.1,34,6.9
15,Joe Flacco,BAL,187,303,61.70%,2067,11,4,6.8,11.1,17,31,0,1.8,120,17.1
30,Josh Allen,BUF,75,139,54.00%,832,2,5,6,11.1,35,155,3,4.4,63,10.5
7,Cam Newton,CAR,137,209,65.60%,1427,11,4,6.8,10.4,52,257,3,4.9,137,22.8
9,Mitchell Trubisky,CHI,139,211,65.90%,1594,13,6,7.6,11.5,31,245,2,7.9,136,22.7
14,Andy Dalton,CIN,164,258,63.60%,1822,15,8,7.1,11.1,8,31,0,3.9,120,17.1
27,Baker Mayfield,CLE,108,187,57.80%,1291,6,5,6.9,12,14,82,0,5.9,70,14
22,Case Keenum,DEN,161,254,63.40%,1848,8,9,7.3,11.5,8,26,1,3.3,97,13.8
18,Matthew Stafford,DET,144,213,67.60%,1602,12,5,7.5,11.1,10,37,0,3.7,104,17.3
11,Aaron Rodgers,GB,156,254,61.40%,1997,12,1,7.9,12.8,17,111,0,6.5,131,21.8
12,Deshaun Watson,HOU,152,241,63.10%,1937,10,7,8,12.7,43,216,1,5,127,18.2
3,Andrew Luck,IND,203,311,65.30%,1948,20,8,6.3,9.6,14,65,0,4.6,146,20.9
16,Blake Bortles,JAX,151,249,60.60%,1736,9,8,7,11.5,32,218,1,6.8,111,15.9
1,Patrick Mahomes,KC,163,251,64.90%,2223,22,5,8.9,13.6,28,120,2,4.3,191,27.3
8,Jared Goff,LAR,152,218,69.70%,2130,14,5,9.8,14,19,55,0,2.9,137,19.5
29,Ryan Tannehill,MIA,85,129,65.90%,972,8,5,7.5,11.4,19,91,0,4.8,64,12.8
5,Kirk Cousins,MIN,210,300,70.00%,2162,14,3,7.2,10.3,23,75,1,3.3,140,20
10,Tom Brady,NE,170,250,68.00%,1876,16,7,7.5,11,12,21,2,1.8,135,19.3
6,Drew Brees,NO,170,220,77.30%,1870,13,0,8.5,11,14,9,2,0.6,140,23.3
21,Eli Manning,NYG,185,268,69.00%,2061,7,4,7.7,11.1,11,19,0,1.7,100,14.3
25,Sam Darnold,NYJ,124,221,56.10%,1552,10,10,7,12.5,25,39,1,1.6,90,12.9
26,Derek Carr,OAK,167,233,71.70%,1783,7,8,7.7,10.7,11,36,0,3.3,83,13.8
23,Carson Wentz,PHI,138,195,70.80%,1502,10,1,7.7,10.9,15,61,0,4.1,96,19.2
13,Ben Roethlisberger,PIT,170,261,65.10%,2033,12,6,7.8,12,13,38,1,2.9,123,20.5
19,Russell Wilson,SEA,106,165,64.20%,1308,13,4,7.9,12.3,17,62,0,3.6,101,16.8
31,C.J. Beathard,SF,88,141,62.40%,1062,7,7,7.5,12.1,14,60,1,4.3,62,12.5
32,Jameis Winston,TB,78,113,69.00%,905,5,6,8,11.6,16,93,1,5.8,58,19.2
24,Alex Smith,WAS,124,196,63.30%,1383,7,2,7.1,11.2,31,84,1,2.7,92,15.3
